2013-08-27 15:21:09,907 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Determining hash of code files on disk
2013-08-27 15:21:09,922 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Hash determined (took 10ms)
2013-08-27 15:21:09,934 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2013-08-27 15:21:10,175 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 239ms)
2013-08-27 15:21:10,212 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2013-08-27 15:21:10,222 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 9ms)
2013-08-27 15:21:10,224 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2013-08-27 15:21:10,230 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 5ms)
2013-08-27 15:21:10,230 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2013-08-27 15:21:10,237 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 6ms)
2013-08-27 15:21:10,245 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2013-08-27 15:21:10,251 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 6ms)
2013-08-27 15:21:10,252 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2013-08-27 15:21:10,259 [12] INFO  Umbraco.Core.PluginManager - [Thread 3] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 6ms)
2013-08-27 15:21:10,270 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,270 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,271 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,346 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
